community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.14.s	M_phe__L_e	0.9574468085106383	1.0	1	0.9574468085106383
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.14.s	M_tyr__L_e	0.9574468085106383	1.0	1	0.9574468085106383
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.13.s	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.13.s	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.13.s	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.13.s	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.13.s	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.3.s	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.3.s	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.3.s	M_alaala_e	0.02127659574468085	0.02	1	0.000425531914893617
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.3.s	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.3.s	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.38.o	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.38.o	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.12.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.12.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.12.p	M_etoh_e	0.02127659574468085	0.37	1	0.007872340425531914
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.12.p	M_glyc_e	0.02127659574468085	0.11	1	0.002340425531914894
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.12.p	M_nmn_e	0.02127659574468085	0.04	1	0.000851063829787234
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.37.p	M_acald_e	0.02127659574468085	0.12	1	0.002553191489361702
all	M11	wgs_S2772Nr3_bin.50.p	wgs_S2772Nr3_bin.37.p	M_ala__D_e	0.02127659574468085	0.23	1	0.004893617021276596
